Cluster Index	Z	x	y	z	
4	9.02	-7.87	-96.4	-16.6
4	8.37	-23	-92	-5.03
4	8.33	17	-82.6	5.36
4	8.25	-32.2	-84.6	-25
4	7.91	-13.7	-90.3	14.2
4	7.79	-16.8	-81.9	-25.4
3	4.04	31.7	45.7	42.3
3	4.01	31.9	65.4	25.1
3	3.92	43.9	51.9	14.2
3	3.59	34.8	51	34
3	3.03	40.8	42.2	38.5
3	3	28.5	48	3.05
2	3.6	-29.3	62.8	18.4
2	3.52	-51.2	38.7	16.7
2	3.45	-38.6	57	19
2	3.24	-41.8	49.1	31.4
2	3.18	-23.1	68.8	17.9
2	3.03	-32.4	58	30.6
1	4.71	43.1	-1.75	57.4
