Cluster Index	Z	x	y	z	
4	9.02	42	13	14
4	8.37	47	14	17
4	8.33	34	17	20
4	8.25	50	17	12
4	7.91	44	14	22
4	7.79	45	18	12
3	4.04	30	58	32
3	4.01	30	65	28
3	3.92	26	61	25
3	3.59	29	60	30
3	3.03	27	57	31
3	3	31	60	22
2	3.6	50	64	26
2	3.52	57	56	25
2	3.45	53	62	26
2	3.24	54	59	29
2	3.18	48	66	26
2	3.03	51	62	29
1	4.71	26	42	35
