Cluster Index	Z	x	y	z	
4	12	33	14	20
4	11.6	40	14	16
4	11.1	36	15	18
4	9.78	34	13	23
4	8.85	42	17	12
4	8.71	36	14	25
3	5.46	25	43	33
3	5.27	25	47	24
3	5.18	23	48	23
3	4.93	28	47	26
3	4.56	21	43	17
3	4.44	24	44	30
2	5.47	55	46	29
2	5.15	53	46	27
2	5.05	53	45	31
2	4.58	48	45	35
2	4.54	49	43	32
2	3.66	47	43	30
1	4.63	33	67	14
1	3.54	30	66	15
1	3.27	30	66	18
1	3.1	29	68	19
1	2.91	32	60	21
1	2.83	31	60	19
